Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
2600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.164723	0.008893358	6.1796536	6.149111	6.3743176	0.0091495225	6.3896756	6.3582544	-6.164414	11392.017	612.8288946151733
2700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.1320577	0.009877422	6.148773	6.114732	6.340692	0.010173719	6.3579054	6.3228445	-6.131714	12047.959	631.4953615665436
2800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0963917	0.010548145	6.1143622	6.0779767	6.303931	0.010880058	6.322462	6.284932	-6.0960236	12282.947	649.9219901561737
2900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0583067	0.011363605	6.0775847	6.0384893	6.2646203	0.011738098	6.284528	6.244146	-6.057912	12622.679	668.5056564807892
3000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	6.0168056	0.012562393	6.0380793	5.9951773	6.2217183	0.012996689	6.243721	6.199335	-6.016372	13337.633	687.0870461463928
3100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.9721446	0.013319918	5.9947267	5.9491115	6.175472	0.013804722	6.1988697	6.1515927	-5.9716835	13579.34	705.8899304866791
3200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.9245534	0.014095148	5.948632	5.900204	6.126101	0.014635721	6.151095	6.10081	-5.9240637	13844.469	724.7949244976044
3300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.873799	0.01529509	5.8996916	5.847208	6.073351	0.01591159	6.1002793	6.0456796	-5.873269	14420.518	743.6694099903107
3400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.8194995	0.01613085	5.846666	5.791544	6.0168047	0.016814815	6.045115	5.9876547	-5.8189435	14556.174	762.4865283966064
3500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.7621	0.017249538	5.7909784	5.7319856	5.9569116	0.018015772	5.987065	5.92545	-5.7615047	15079.296	781.3929297924042
3600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.7001843	0.018418036	5.731369	5.668092	5.892181	0.019274544	5.924805	5.8585854	-5.699545	15610.433	800.1876223087311
3700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.633807	0.019799778	5.6674247	5.599319	5.822647	0.020762276	5.857887	5.7864695	-5.633118	16264.565	818.8231208324432
3800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.562737	0.021015186	5.5985913	5.526222	5.748045	0.022081396	5.785707	5.709667	-5.5620046	16681.732	837.7106251716614
3900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.4883776	0.021793455	5.5254645	5.450712	5.669839	0.022942225	5.708869	5.6301775	-5.4876223	16695.975	856.5675239562988
4000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.4109626	0.02295658	5.4499316	5.371365	5.588274	0.024207326	5.6293545	5.546507	-5.4101686	17049.992	875.1829631328583
4100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.3291297	0.02443967	5.3705564	5.286816	5.501914	0.025810625	5.545654	5.4572163	-5.3282833	17720.818	894.0587430000305
4200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.2425966	0.025568059	5.28596	5.1984754	5.410459	0.027041145	5.456311	5.363785	-5.241713	18061.834	913.0248374938965
4300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.1517944	0.026896745	5.197567	5.1051826	5.314359	0.028484782	5.3628235	5.2649846	-5.1508613	18625.008	931.7971756458282
4400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	5.0567417	0.027791237	5.104228	5.0087805	5.21363	0.029468456	5.263973	5.162766	-5.055778	18794.225	950.9173040390015
4500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.9585686	0.029077223	5.0078044	4.9082837	5.1094794	0.030862195	5.161731	5.0560994	-4.9575634	19295.766	969.8789646625519
4600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.855914	0.030050298	4.9072433	4.8041425	5.000477	0.031922173	5.0549955	4.9454727	-4.854873	19539.154	988.8501682281494
4700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.7498436	0.031347107	4.8031	4.695748	4.887758	0.033323105	4.9443645	4.830245	-4.7487593	20137.002	1007.7829878330231
4800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.6393275	0.032396395	4.6946454	4.583622	4.770237	0.034460273	4.829073	4.710977	-4.638206	20514.664	1026.8992743492126
4900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.5258045	0.03318968	4.5824885	4.4687023	4.6494484	0.035322506	4.7097707	4.588673	-4.524655	20803.742	1045.941875219345
5000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.4093695	0.034091134	4.467534	4.350614	4.5255055	0.03629646	4.587429	4.462946	-4.4081883	21168.578	1064.958838224411
5100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.289694	0.03497672	4.349419	4.2295494	4.3980656	0.037251845	4.4616723	4.334006	-4.2884827	21550.676	1083.9670460224152
5200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.1675353	0.035484485	4.228327	4.1066523	4.267942	0.037803553	4.3327036	4.2030773	-4.1663065	21722.682	1103.14568734169
5300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	4.044421	0.035587598	4.105421	3.9833694	4.1367674	0.037921708	4.201765	4.071708	-4.0431886	21669.71	1122.139006137848
5400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.920976	0.03567984	3.9821346	3.859766	4.0052123	0.03802685	4.0703926	3.9399743	-3.9197395	21616.658	1141.3017654418945
5500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.797218	0.03576777	3.858529	3.7358592	3.8733034	0.038125843	3.9386551	3.8078985	-3.7959788	21563.53	1160.4724431037903
5600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.6731641	0.03585054	3.7346182	3.6116645	3.7410645	0.03821774	3.806576	3.6755037	-3.6719217	21510.338	1179.6834564208984
5700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.5499585	0.034703948	3.6104212	3.4914126	3.6085184	0.038303193	3.6741781	3.5428126	-3.548757	21457.32	1198.9767549037933
5800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.4327374	0.033555023	3.4902523	3.3751714	3.4756866	0.03838245	3.541484	3.4098465	-3.431575	21405.553	1218.2809846401215
5900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.3163397	0.033642806	3.3740072	3.2586253	3.3431451	0.03776411	3.4085157	3.2792647	-3.3151743	21354.074	1237.4554190635681
6000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.1998029	0.033508945	3.257458	3.1428778	3.215125	0.036675684	3.277995	3.1522117	-3.1986458	21303.562	1256.8210968971252
6100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	3.0857642	0.03265999	3.141748	3.0297363	3.0879395	0.036750622	3.1509402	3.024899	-3.0846326	21253.8	1275.8884618282318
6200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.9724894	0.032735128	3.028604	2.9163346	2.9605055	0.03681899	3.0236244	2.897349	-2.971355	21204.205	1294.8798658847809
6300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.8589664	0.032803144	2.9151998	2.802697	2.8328447	0.036881477	2.896073	2.7695835	-2.8578298	21154.564	1314.3181056976318
6400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.7452185	0.032865044	2.8015592	2.6888452	2.7049775	0.036938436	2.7683046	2.6416197	-2.7440803	21104.895	1333.5770938396454
6500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.6312666	0.032921232	2.6877055	2.574798	2.5769215	0.036990397	2.6403391	2.5134757	-2.6301262	21055.205	1352.6977875232697
6600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.5171287	0.03297238	2.5736566	2.4605737	2.4486938	0.037037406	2.5121934	2.385169	-2.5159864	21005.5	1372.184142112732
6700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.4028215	0.03301891	2.4594307	2.346188	2.320311	0.037080277	2.3838851	2.2567139	-2.4016778	20955.785	1391.6033494472504
6800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.2883615	0.03306082	2.3450437	2.2316575	2.1917863	0.037119254	2.2554286	2.1281233	-2.2872164	20906.074	1411.272515296936
6900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.1737626	0.033099245	2.2305114	2.1169932	2.0631328	0.037154634	2.1268365	1.9994102	-2.1726158	20856.363	1430.8580224514008
7000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	2.059037	0.03313397	2.1158462	2.002209	1.9343628	0.037186593	1.9981225	1.8705865	-2.057889	20806.664	1450.4618241786957
7100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.944324	0.03299945	2.0010607	1.8879918	1.805488	0.037215296	1.8692977	1.741663	-1.9431822	20757.006	1469.8702645301819
7200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.8313147	0.03225536	1.8868606	1.7760868	1.6774719	0.036218207	1.7403731	1.6159728	-1.8301959	20707.928	1489.3368768692017
7300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.7197782	0.03219073	1.7749721	1.6645696	1.55376	0.03556562	1.6147414	1.4927646	-1.7186626	20660.082	1508.693021774292
7400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.6082184	0.03221459	1.663454	1.5529702	1.4305084	0.0355898	1.4915318	1.3694723	-1.6071024	20612.38	1528.3397316932678
7500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.4965805	0.032236148	1.5518538	1.4412956	1.3071774	0.035611626	1.3682389	1.2461042	-1.4954638	20564.703	1547.6713213920593
7600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.3848714	0.03225561	1.4401784	1.3295538	1.183774	0.035631478	1.2448703	1.1226677	-1.383754	20517.05	1567.1902594566345
7700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.2730985	0.032273	1.3284359	1.2177515	1.0603058	0.03564924	1.1214329	0.9991692	-1.2719804	20469.43	1586.831983089447
7800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.162733	0.031112505	1.2166332	1.1095141	0.93824613	0.034094177	0.9979339	0.88077664	-1.1616511	20422.43	1606.4530906677246
7900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	1.0565565	0.030003162	1.1084408	1.0052016	0.8230709	0.03298782	0.8796341	0.76649815	-1.0555137	20377.723	1626.1639325618744
8000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.95285475	0.0299241	1.0041652	0.9015365	0.71029955	0.031848308	0.76535505	0.6557635	-0.9518179	20334.047	1645.691750049591
8100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.8491663	0.029937228	0.9004996	0.79782605	0.60015726	0.031787418	0.6546626	0.5456434	-0.8481293	20290.947	1665.7221276760101
8200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.74558717	0.029724266	0.7967887	0.6955631	0.49001136	0.031801995	0.544542	0.43547294	-0.74456567	20247.918	1685.5766804218292
8300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.64912623	0.026545813	0.6946436	0.60360134	0.38110328	0.030523393	0.43437093	0.32931882	-0.64820665	20206.613	1705.3037395477295
8400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.55714226	0.02655824	0.60268146	0.5115965	0.2769323	0.02994677	0.32828164	0.22557533	-0.5562222	20167.203	1725.2371282577515
8500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.46511748	0.026569506	0.5106763	0.4195527	0.17697817	0.026464365	0.22453769	0.13551253	-0.46419704	20128.668	1745.112675666809
8600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.37305516	0.026579972	0.41863206	0.32747263	0.10898712	0.014528416	0.13492502	0.08481014	-0.37213436	20096.56	1764.8115148544312
8700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.28299537	0.024550699	0.32655165	0.241782	0.0636363	0.011576043	0.08435877	0.044342794	-0.28213948	20069.41	1784.3851072788239
8800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.2004459	0.023629561	0.24096353	0.1599229	0.026510894	0.010041717	0.04396437	0.00931593	-0.19962732	20045.434	1804.3148472309113
8900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.12048027	0.02133569	0.15910412	0.08750154	-0.0043560565	0.007247101	0.008968763	-0.0164265	-0.11975915	20023.24	1824.1809694766998
9000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.06616972	0.011474943	0.08699085	0.04687278	-0.028038606	0.00639285	-0.016665362	-0.03861982	-0.06576469	20007.63	1843.7198498249054
9100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	0.028075757	0.010353994	0.046487987	0.011333518	-0.047495946	0.0049383254	-0.038826317	-0.055948623	-0.027721126	19996.12	1863.5248489379883
9200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.003612163	0.00818201	0.011024855	-0.016889062	-0.064478524	0.0047965334	-0.05611925	-0.072147556	0.003893788	19986.387	1883.5000383853912
9300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.029446077	0.007178489	-0.01713766	-0.041757215	-0.07850865	0.0036364957	-0.072273485	-0.08474531	0.02969476	19978.416	1903.297037601471
9400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.052111663	0.005542374	-0.04200598	-0.061133966	-0.0911109	0.0036390228	-0.08487133	-0.09735183	0.052304417	19971.367	1923.2250480651855
9500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.06859576	0.0042656837	-0.061281692	-0.07591141	-0.103721514	0.0036413188	-0.097477935	-0.10996631	0.068743534	19965.553	1943.1981074810028
9600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.08176801	0.0030489664	-0.07605924	-0.08681159	-0.116326086	0.0036216688	-0.11009249	-0.12233085	0.08187654	19960.402	1963.2725932598114
9700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.09182539	0.0028662148	-0.08691085	-0.09674091	-0.12734854	0.0028683948	-0.12243019	-0.13226773	0.09192469	19956.19	1983.1489431858063
9800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.10175766	0.0028678696	-0.09684023	-0.10667596	-0.13728797	0.0028698405	-0.13236712	-0.14220957	0.10185701	19952.22	2003.177402973175
9900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.111695364	0.0028693639	-0.106775336	-0.1166162	-0.1472322	0.0028711595	-0.14230901	-0.15215604	0.11179477	19948.248	2023.0863063335419
10000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.121638015	0.002870719	-0.116715625	-0.12656109	-0.15718077	0.002872352	-0.15225552	-0.16210666	0.12173746	19944.275	2043.3090031147003
10100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.13158514	0.002871964	-0.12666056	-0.13651036	-0.16713327	0.0028734275	-0.16220619	-0.17206092	0.13168462	19940.303	2063.3469984531403
10200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.14153633	0.0028730663	-0.13660987	-0.1464634	-0.1770893	0.0028743993	-0.17216048	-0.1820186	0.14163585	19936.328	2083.5822525024414
10300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.15149121	0.0028740768	-0.14656295	-0.15642002	-0.18704857	0.00287528	-0.18211819	-0.19197933	0.15159078	19932.35	2103.6522426605225
10400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.16144942	0.0028749893	-0.1565196	-0.16637978	-0.19701077	0.002876095	-0.19207896	-0.20194294	0.16154902	19928.373	2123.732192993164
10500	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.17141064	0.0028758142	-0.1664794	-0.17634238	-0.20697555	0.0028768189	-0.20204258	-0.21190903	0.17151028	19924.395	2143.7636919021606
10600	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.18137462	0.0028765767	-0.17644203	-0.1863076	-0.21694283	0.0028774748	-0.2120087	-0.2218773	0.18147427	19920.418	2164.05836558342
10700	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.19134107	0.0028772606	-0.18640725	-0.19627525	-0.2269122	0.0028780613	-0.221977	-0.2318477	0.19144073	19916.438	2184.0718429088593
10800	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.20130977	0.0028778734	-0.19637494	-0.20624495	-0.23688357	0.0028785844	-0.23194742	-0.24182002	0.20140946	19912.457	2204.321779727936
10900	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.21128047	0.0028784405	-0.20634465	-0.2162165	-0.24685669	0.0028790766	-0.24191976	-0.25179398	0.21138018	19908.479	2224.648179769516
11000	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.22125301	0.0028789213	-0.21631622	-0.22618993	-0.2568313	0.0028793437	-0.25189373	-0.26176882	0.22135273	19904.498	2245.0856688022614
11100	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.23122722	0.0028793567	-0.22628967	-0.23616491	-0.26680735	0.0028801863	-0.26186857	-0.27174637	0.23132697	19900.516	2265.573013305664
11200	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.24120297	0.002879774	-0.23626468	-0.24614125	-0.27678514	0.0028802038	-0.27184615	-0.28172418	0.24130274	19896.537	2285.684767484665
11300	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.25118005	0.0028802038	-0.24624103	-0.25611907	-0.2867633	0.0028805889	-0.28182396	-0.29170337	0.25127983	19892.557	2306.2260644435883
11400	-100.0	0.0	-100.0	-100.0	-100.0	0.0	-100.0	-100.0	1.0	1.0	0	-0.26115787	0.0028802406	-0.25621885	-0.26609725	-0.2967437	0.002881064	-0.29180318	-0.30168417	0.26125768	19888.576	2326.542421579361
