Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-11.988156	13.305832	7.704967	-24.123346	127.54054	-11.118093	13.272754	0.5406195	-60.75401	10000	-5.493164e-08	165.11935	-0.049746983	-107.09604	22.952562	-0.0064145294	0.1848	79.0	171.73712182044983
2	-12.424849	12.890159	7.0514007	-24.596832	129.0	-5.710204	9.305481	1.6961372	-43.466774	15000	7.324219e-08	39.23645	-0.05069008	-12.327641	22.936806	0.0063001	0.1866	79.0	343.06228733062744
3	-4.1886654	13.457432	11.821112	-23.329685	195.8	-1.7952149	5.958688	2.5248709	-33.64974	20000	6.1035155e-09	41.507004	-0.047262203	-14.298523	22.890177	0.002452459	0.1472	79.0	512.9294023513794
4	-4.8322453	13.293424	7.6143737	-23.027756	190.34616	-0.64341193	5.095782	3.448092	-25.028118	25000	3.967285e-08	35.283367	-0.054190658	-8.339739	22.850384	0.010076101	0.1848	79.0	680.8997447490692
5	-4.526738	12.934103	6.626114	-24.677195	207.30435	1.4315687	3.1829672	4.9930987	-21.262503	30000	-9.155274e-09	17.427137	-0.0429865	-1.5265675	22.81016	0.0149253495	0.1424	51.0	885.0614259243011
6	-9.050027	13.773757	8.901102	-23.270668	153.53125	-0.37062046	5.018302	4.080201	-24.340572	35000	-2.746582e-08	29.117643	-0.04342397	-2.729519	22.859982	0.015335214	0.1348	30.0	1055.2201328277588
7	-8.705556	13.354132	7.047488	-23.643452	160.6129	-1.0768367	5.3554254	2.9824803	-27.946203	40000	-1.373291e-08	30.715569	-0.05126669	-5.15493	22.835503	0.015236195	0.1718	55.0	1225.9301512241364
8	-8.343178	13.469742	11.310169	-23.2405	160.06451	-0.20127293	4.9011993	3.7142196	-25.5074	45000	-3.051758e-08	21.016245	-0.0525897	-1.8677559	22.825504	0.014827597	0.1704	79.0	1396.217830657959
9	-2.0007727	11.95788	9.760326	-23.16558	219.72728	0.3019995	3.950658	5.034746	-31.716019	50000	6.103516e-08	20.878443	-0.05101451	-5.147891	22.765917	0.00847586	0.1816	79.0	1565.1946675777435
10	-7.4508557	13.805865	11.208939	-23.430868	154.64516	0.60233057	4.051809	8.299878	-19.451149	55000	-6.1035155e-09	33.995625	-0.03639908	-6.291252	22.763922	0.016001064	0.1606	18.0	1772.8130915164948
