Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	3.7640018	6.196931	10.868163	-8.26547	232.5	-6.839749	9.530811	0.5048379	-57.882145	4000	-3.242493e-08	149.1259	-0.059090465	-105.07921	22.928179	0.00091189577	0.2405	79.0	70.23100161552429
2	3.8788342	3.7298439	8.555866	-1.4373482	210.88889	-2.9025424	6.651662	1.7246604	-36.296967	6000	-1.373291e-07	58.500473	-0.056308012	-42.246964	22.962835	0.0035869142	0.2375	79.0	140.20544743537903
3	1.3012601	3.7939174	6.386632	-5.5137324	179.27272	-1.4664307	6.0115285	3.348966	-24.147491	8000	9.727478e-08	34.911324	-0.061047826	-21.478762	22.881899	0.011697773	0.2415	79.0	210.53531289100647
4	3.63181	4.4808755	10.6844	-2.7792215	198.1	0.841128	3.7085142	5.9558578	-14.672202	10000	3.194809e-08	9.721627	-0.059536166	-4.2211814	22.894747	0.010552112	0.2395	79.0	280.58773279190063
5	-0.16668202	4.00271	6.507292	-5.443112	145.91667	0.90867186	4.140141	6.014794	-16.666111	12000	-3.051758e-08	10.698258	-0.06258479	-6.271841	22.883574	0.024901953	0.279	79.0	631.9894893169403
6	2.0933518	4.700188	8.263723	-6.0132294	180.09091	2.095842	2.2388725	5.6281757	-8.590819	14000	-1.0490417e-08	3.3446217	-0.05729406	-0.73484373	22.840729	0.020154389	0.2665	79.0	701.5465342998505
7	0.77592903	3.774008	6.9192615	-5.133569	178.8	1.3142022	2.8169153	5.472556	-9.869047	16000	-2.6702882e-08	5.392782	-0.06954439	-1.7411551	22.762321	0.03410548	0.299	79.0	771.6551804542542
8	1.5678741	4.205968	5.950689	-6.3229227	194.2	1.8608274	1.7980671	5.609169	-6.826716	18000	4.2915346e-08	2.1906037	-0.06630434	-0.42102408	22.846844	0.033893976	0.2945	79.0	842.1435453891754
9	-1.0484698	5.5632157	7.492791	-10.658085	137.38461	1.303297	2.2948847	4.4710364	-8.415335	20000	4.005432e-08	3.37068	-0.06812525	-0.5919857	22.732342	0.03661613	0.282	79.0	912.9425301551819
10	-0.011903365	4.189315	6.6635866	-6.2669883	126.2	1.2511364	2.0234737	4.3916883	-7.337897	22000	1.525879e-08	2.648829	-0.07084015	-0.44912267	22.736542	0.0401636	0.288	79.0	1243.57439661026
11	3.1761694	3.530545	7.8034697	-2.9776165	234.0	1.8322319	0.99717087	3.838254	-4.06919	24000	-4.196167e-08	1.2000062	-0.054529104	-0.19844306	22.686323	0.037214205	0.229	79.0	1313.2324647903442
12	3.2127147	4.058356	8.688966	-3.9148574	212.22223	1.5913829	1.1830038	4.6830416	-5.209655	26000	4.005432e-08	1.4109643	-0.06603984	-0.14165592	22.668324	0.03551418	0.2935	79.0	1383.1200499534607
13	-0.14395157	4.784412	7.7980323	-8.434878	147.58333	0.91513073	1.9690168	4.8852444	-8.035786	28000	-1.2874604e-08	2.2147794	-0.069003955	-0.8245281	22.70399	0.017456543	0.3	79.0	1453.4997370243073
14	2.445859	5.111073	9.916249	-5.1193094	161.45454	1.4021623	1.5252777	4.487474	-5.286631	30000	-3.051758e-08	1.5985361	-0.06599609	-0.2819053	22.699286	0.04542872	0.2845	79.0	1524.232511997223
15	0.017177412	5.9421835	8.135207	-12.8371725	130.85715	1.6074834	1.3809689	5.8007402	-4.2996073	32000	-9.441376e-08	3.0720143	-0.06805665	-0.9579718	22.653276	0.06308931	0.2975	79.0	1845.154545545578
16	0.9127064	6.8270555	11.086643	-11.068995	179.90909	1.3247572	1.6542219	4.085269	-5.6564083	34000	0.0	2.0270975	-0.059891563	-0.10505569	22.620667	0.05110569	0.275	79.0	1915.5631337165833
17	2.9484072	5.873018	7.981101	-8.153281	214.11111	1.5164073	1.3111612	4.0171	-4.8687763	36000	2.4795533e-08	1.6959321	-0.06289093	-0.13917756	22.661377	0.044364844	0.2905	79.0	1985.813225030899
18	6.004308	3.849461	9.701008	-2.9141138	263.2857	1.6554414	1.0411752	4.3762984	-5.7599874	38000	-2.2888184e-08	1.4360299	-0.05586097	-0.21079087	22.653921	0.03815601	0.2435	79.0	2055.1568744182587
19	3.1851196	3.3585253	7.884693	-2.632209	219.11111	1.466562	1.5407335	4.29361	-5.5016065	40000	-1.525879e-08	1.6210346	-0.067207046	-0.414935	22.63951	0.016749961	0.257	79.0	2125.5460669994354
