Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	227208.23851807034	91495.11164525781	91813.58028296103	395029.23065046896	-40.33351251838291	20.538146265539044	-74.17799283050557	-14.840375187681285
1	228774.86898132498	53627.20053363519	146106.48254392573	314052.32947666524	-43.73634549649849	14.356796507910671	-77.37236558475013	-25.175922237339368
2	238449.6900372755	101233.53314562238	73587.21806124815	419233.8892510262	-42.228432270460964	14.933500312980504	-65.79661294514501	-21.228985057052533
3	249105.66514406615	91258.91953350209	90714.33241670142	404015.4050582387	-46.48528009444804	23.206646817128213	-97.14578198417892	-16.28088868464783
4	239496.65979751776	87501.79921798906	122485.99013193454	372688.6168569398	-33.817796062845645	11.781443189292597	-51.41429108948585	-15.966414929582992
5	277697.3664160002	127025.16046179559	153454.5785649739	611980.3728582704	-47.31494944394655	17.314733279554684	-71.57769681206221	-18.995744492038938
6	253790.69513602523	93870.12591597979	120304.70165056337	436341.591162587	-38.23450031267624	7.721446398192467	-48.813454383556895	-26.753655870622747
7	189574.20978320247	58073.8215052766	104473.20949035385	315223.12750086444	-43.036239475814526	15.292239692119773	-69.90590980927354	-26.948761098274527
8	219779.86532056154	60480.98058543583	83160.62730940362	344290.0895406697	-33.47816229901937	13.926628336285974	-51.807965356709374	-14.039183971371152
9	248477.83206141312	89963.37964515263	90132.99367333384	387281.1849527918	-45.06843332278772	12.853132258914327	-69.8437847622786	-29.935937282841397
10	279789.88752022805	96654.87792693949	125874.91929527438	489701.46218778234	-42.94765527711503	18.526163651456425	-88.70615116058825	-20.4668323335289
11	218587.8502479617	54741.482532134716	151226.85063192336	314644.77322258026	-45.48243967138294	16.771720060172804	-64.70560409736265	-10.908363971513635
12	248394.67354336908	67258.61543411225	151417.09581912583	356665.1743825486	-46.78620582709835	8.706034352378147	-60.83403491132053	-31.309182726825387
13	227625.76121181823	67644.2277244535	137978.84743736527	327154.7832095702	-28.376444258258584	7.763281185579355	-41.80052879776801	-18.006397979405143
14	284949.45763120445	77790.70881427056	187587.06879425966	457608.34309218207	-47.558589883014896	12.873216166848087	-63.84212403903954	-20.995631574880118
15	303302.1996310506	120591.10939949895	147985.92349244963	462305.7343790226	-54.08758328446074	20.42292239108708	-88.27598303942071	-19.901332556737216
16	245401.41431666762	58828.154457422046	151378.15793450805	339801.37135351007	-42.867658057829765	18.593426833051808	-72.30617154763806	-15.070699025201494
17	348127.4965848909	256283.33519624567	145634.93807366648	1056647.8185218023	-42.913344718633	11.050030352289074	-57.272156088714105	-23.5988283669277
18	255946.41418676072	87976.2974025322	75841.1329316488	372509.39917243493	-45.58927611722976	17.296143603827694	-75.70262365582876	-25.117213270180777
19	275723.7207781594	159821.15056206906	89016.90308601002	648309.0292733405	-47.70571428537744	13.377463557211657	-65.3080664229135	-17.583918848958444
20	290639.1158718483	56383.36015396961	217333.23612099478	377963.6293886497	-47.34761671614956	14.103384169601867	-67.65781680222685	-21.4111821725754
21	259655.56884052168	79750.13338490872	154062.65001834795	395907.0120367376	-34.79077525490089	16.422169796063866	-65.58769372794666	-11.405406168729147
22	262087.17845798936	97403.06566510664	122735.3095545035	447872.75205050915	-50.126498462956945	22.06952318978245	-88.94297703341321	-18.249849066519317
23	279625.3350852964	88417.77755975327	147871.66823693944	412885.5585011391	-39.630695444812865	10.40478473002873	-54.0704768026489	-21.595362190924277
24	268439.7235980583	75070.42504863617	92754.54062924758	388822.9825446207	-44.757002432049596	16.953846728958474	-78.97791611013825	-17.414751414081753
25	297720.3816122298	103134.57833037038	182720.0890532568	555472.4176183848	-46.63633944239454	10.357970635045815	-62.32302934497011	-25.317115202146184
26	291443.6873503304	88075.49230838045	147382.431120381	435530.5509064854	-44.39630294298333	16.92333879838341	-64.2366687662973	-15.362432354268078
27	260341.7759822441	83364.45609820128	164344.82388674325	419411.6322496225	-33.458874606212376	10.286186498111956	-47.78295041791132	-17.150211966528374
28	238765.91892559043	70310.73737472147	90409.35516152337	359183.0244746563	-50.8437420287576	15.45567636391832	-83.02573514617661	-32.56328834695066
29	255071.3351341021	91625.65693073215	126098.99808372145	432746.73219112906	-40.53528522952182	20.760869928026658	-85.71380701614818	-16.217825506965696
30	260383.55724470783	51378.30868272214	157882.43127484006	314659.6119399093	-34.80010813963655	10.856032001565099	-54.17503779059167	-22.40201626442586
31	286471.4164529982	150141.2895452486	107979.19410742729	622590.2441140704	-41.06402580307223	18.999065112627868	-78.31396570198145	-16.520672147495574
32	298146.65680815215	78690.08810928922	208232.6749892258	447945.82073876733	-47.53812936147476	13.861632623620917	-72.69958208240226	-19.43192594316956
33	264125.5954357219	49118.09124294525	205172.46746452845	347225.5141037699	-51.93288397949423	13.840211763694652	-64.70528626542159	-26.472056834147324
34	319526.6242270513	78547.1915851282	148320.6644198801	462347.8825290242	-44.813644805842316	20.21484976681061	-79.92288060101362	-18.728179387409746
35	365628.375166987	124108.50050787858	164047.38738178302	587129.8479981897	-44.23361639667869	12.321635107312868	-61.862681506567064	-18.938601956536633
36	258880.1413331898	90305.57998085525	143834.3441141289	477228.138590536	-45.86852225801162	13.407389345079059	-67.11596166378527	-28.145549557076826
37	233086.2277116101	47113.98771204746	134064.46375425073	310417.2022916444	-40.672493377347095	18.625410468644034	-78.87207558214546	-15.422179306040514
38	249128.27894581854	65745.43037427477	97345.39161486948	349034.835730785	-46.1027989142823	11.452417674275742	-62.2699967948782	-24.34080661854353
39	293859.3135509858	110317.77635656518	171756.74928805465	514831.9817400484	-39.38719021226765	11.441350402210958	-57.5852155775501	-19.456806306049053
40	303840.60564655944	135076.14244993255	125394.53380841453	577253.6153452629	-39.26805158923035	14.981959500465745	-58.915015898288274	-15.103590821473977
41	319372.2187826965	84501.26355010006	166229.50756525435	415620.0097106707	-45.66158470623513	19.382031900407753	-74.76398666885797	-19.06351063121962
42	290150.5401880215	69037.00555247208	155059.82081882865	405057.8615446883	-40.23213256358192	14.493697924016884	-62.23099129525182	-22.484308180978953
43	308265.4417261301	113098.70090139775	168590.4452969416	586297.1151979555	-47.03226831808117	14.318875984450731	-68.40475523237714	-29.13206556859126
44	272929.6347346565	125309.71515541627	93862.51292876282	505917.6592059035	-39.95391906845011	11.661394781095998	-63.66188721547024	-20.490466365172345
45	322170.0475782788	109473.84049329904	167234.29802465191	542497.7222840328	-38.99442900170879	11.766818047124444	-53.09838718284356	-20.143190668810764
46	304888.9700650412	130758.94666892655	119787.05474233303	546961.9230347044	-46.34972656578499	12.82146783800268	-73.20932624951251	-29.03242008121887
47	279193.0017174318	105669.2183767574	165660.1874522791	495973.4394744305	-40.22574885435483	13.543793632215396	-56.88120509340543	-16.160726790544203
48	318907.2884455625	176163.0156102527	141389.08417808532	786529.7437088443	-46.27225386273456	13.045513727068991	-60.69862305286321	-19.427671578939425
49	334588.2603750914	118833.05327786686	178029.82874460288	601234.6405161078	-47.94517685349748	17.88367686138113	-78.16696958640071	-15.105537734688255
50	296326.0286031421	92438.7019901411	180281.0034688441	452144.2908930395	-52.606281564446775	12.491829868896778	-84.87350097814979	-36.458561391111374
51	312052.5715465046	98409.54707649369	222081.80496024145	547414.7571335345	-42.28844675587307	18.65068453497211	-71.41885546523	-11.011550499339354
52	355076.24238590826	141575.0409756688	157310.60272082555	712341.3485886775	-47.353733268934945	16.450337781126557	-67.46603099336345	-17.42662503285861
53	400390.88572687004	155855.23035740174	248912.0099773613	690107.422461404	-49.08944357554449	10.607239855913864	-66.02459765763486	-34.19860245411902
54	401589.0923984004	114273.74970503703	286051.020534548	707307.9294413138	-48.669181219335954	24.649453781449143	-86.87156321740525	-16.307688470761057
55	306280.2321030827	65289.981534539635	184701.97881032916	377798.4175758362	-52.20762822981612	15.4213941489806	-73.78491120362169	-21.134680578195088
56	328534.3999976277	80533.5961007722	189687.33415361965	486913.73532039084	-39.72793582808941	13.557011075390479	-52.55515864252908	-15.036672970680682
57	298374.538286766	101042.13394150889	144477.19541246956	535482.3682884687	-51.89739077000256	11.58154416660312	-72.6102486336574	-36.01040685694662
58	285974.6020883153	71575.02829109103	166828.33378210844	414755.48234118754	-43.52587269251097	11.161044849793445	-60.691001396805206	-29.79296682697627
59	267366.0874170128	81537.36030584504	166680.86464368703	435428.79959981615	-43.14144947930251	13.744633619352655	-65.42039539903514	-22.721968973842543
60	266721.65215976664	38080.737030955315	218662.2966629243	341786.51570850296	-50.1382926506227	13.855511302439336	-78.79773384726491	-25.569038337341773
61	283429.7939391442	82144.76053474502	164354.40115715165	407977.9893979142	-47.039024934656126	17.93162177404368	-70.24695174179283	-14.984937118755376
62	349317.3487469215	135322.09038481186	189079.32725308996	584622.5185407075	-42.36528954333177	10.898711604706438	-57.91821507002201	-22.56263665423792
63	297501.14676226745	60346.34719193744	172480.4329760292	357375.02348714706	-52.47355614078138	15.403714006300744	-75.49153386926267	-30.082620714100834
64	310227.2753629958	79166.1529595422	200050.91001490323	445479.28711445886	-44.028437665465674	11.90897590765494	-58.71455740860877	-22.706105972738975
65	369340.2777718673	302282.13287091174	58807.004015434286	1148492.4961318753	-51.97201589844046	16.474042591639193	-78.93167393572116	-22.430230284443688
66	402881.2479628642	169626.12642801544	129453.99587350375	661446.1212770008	-35.48488023895254	13.65962739277806	-57.71540305120213	-14.559102827925084
