epoch	AverageTestEpRet	policy_steps	LossPi	LossV
50	-9.195282	41.714287	46427.42	3.0802436
100	-14.01473	84.53846	17491.65	1.3346006
150	-18.98576	172.02197	16341.305	3.5981328
200	-16.789616	205.61539	13358.185	4.553689
250	-14.990921	195.35165	10166.367	3.7375062
300	-16.669254	241.20879	8299.832	2.9175026
350	-16.281054	236.3077	7130.8	2.5772583
400	-14.389125	223.0	6050.9424	2.15484
450	-15.148952	258.6044	5386.35	2.2752492
500	-13.380757	176.84616	4806.786	2.0569644
550	-11.812306	151.81319	4079.085	1.7908509
600	-12.17456	147.34065	3443.8345	1.3805826
650	-11.797378	156.81319	3012.5264	1.17366
700	-11.3706875	162.75824	2899.3682	1.0119896
750	-12.529408	176.93407	2689.665	0.95465434
800	-12.224995	182.78021	2541.8892	0.8599429
850	-11.253905	163.52747	2450.805	0.7946535
