Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
40	394368.8427252782	122166.68175158705	234683.94474415862	684527.744933738	-52.9914600767583	15.380251067987729	-82.31236175601103	-30.766212278887444
41	358947.0706211679	90689.01906823013	235952.4227385627	594892.639469727	-56.98347303796023	15.055974666881195	-76.0390246887704	-30.42488615785317
42	288442.8264353516	95614.39783120771	127140.34455392908	475813.5341667273	-48.002397140936296	14.487696231713711	-79.60800643022107	-27.891730500057832
43	357818.8143699059	134754.13921783242	162808.31349837955	604004.4241880215	-54.87384290080543	14.267563569548571	-73.74060758085595	-22.976638014450522
44	343790.3901683962	199618.01569971707	163454.26986076235	912105.4944620712	-43.097367129930134	18.447243345680302	-67.83343565030998	-18.637249447259155
45	452122.3858667302	149843.27044811877	280571.1393221437	686199.7594104834	-54.570720087195284	21.195326819335293	-88.37784265654469	-19.623794688285678
46	344034.80374014925	138183.49062852882	132343.55917258686	611526.4117840058	-49.288098618253194	19.61625969363091	-86.61022814946966	-22.635916085206386
47	294516.71493995644	132693.98743064524	177416.21304883657	672353.1521933561	-40.364427257174555	18.693301725008453	-74.33212651541683	-18.062360241055273
48	328807.21394232183	108823.10075774963	130230.32915372269	479800.4694787438	-47.085082482877276	12.810806772877523	-61.96757334458623	-23.19109136630118
49	318683.40739362757	78618.42962017008	237408.87139074385	473049.03481863765	-43.37076506782828	13.630471886304754	-71.11498491416678	-22.096367665474148
50	299003.33745447436	103210.46415884464	114048.74028347312	430906.0869468351	-39.45778195374133	15.756384477729135	-77.93622748299614	-18.406897291898417
51	306013.03008227126	120575.62149045743	100768.6724633812	492972.97701689595	-41.00659164082417	19.325319979161087	-76.12546194319482	-16.2608961661845
52	311309.49545174435	111619.9628295818	137634.21410483724	482201.2206638825	-44.30753870283489	10.884548017850939	-62.01215205758457	-29.060671822200725
53	283741.58291964815	103811.99370729316	108359.95467641138	481616.3609982796	-41.498493958599504	13.50178492479297	-72.13786768830951	-29.06391917753851
54	286761.2183200981	76855.2413441346	183118.64775304188	424755.2587708428	-50.502051044704515	8.63950514197158	-59.68079891995067	-34.778547580392896
55	274611.17412201484	56123.76632926639	182188.19964302212	342003.23270516226	-43.43042464472334	18.082425304842534	-77.69643059805504	-17.4800053833976
56	237800.61627847288	66028.49933944366	141831.14941821102	322983.214278664	-41.90081912989942	21.906500514306714	-78.53924391248715	-9.219495537091946
