Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-15.853892	28.509262	6.341231	-56.92617	211.0	-0.18882757	0.21108514	1.0697867	-0.9098921	4000	16193.855	155.00179	0.0	0.0	0.0	0.0	0.0	0.0	125.48447394371033
2	-15.068968	28.250755	6.444243	-56.224316	208.11111	-0.17040943	0.18598138	0.89121616	-0.92260605	6000	1880.807	109.5743	0.0	0.0	0.0	0.0	0.0	0.0	255.45752048492432
3	-14.803104	28.280603	6.0724826	-57.983143	208.66667	-0.14386109	0.28085774	0.8768791	-2.4655707	8000	1057.327	115.77812	0.0	0.0	0.0	0.0	0.0	0.0	385.92248606681824
4	-15.429995	28.506678	5.962439	-56.12267	210.77777	-0.113453075	0.21584408	0.6166719	-1.1161726	10000	684.2954	143.42159	0.0	0.0	0.0	0.0	0.0	0.0	523.7529625892639
5	-38.701717	27.211493	6.3990183	-57.67219	106.333336	-0.17738068	0.4600855	1.1675783	-2.730474	12000	776.6714	585.8621	0.0	0.0	0.0	0.0	0.0	0.0	668.8283848762512
6	-38.62532	26.749834	5.830317	-57.392273	104.166664	-0.37900233	0.5586472	0.62001145	-3.823738	14000	730.38495	518.55316	0.0	0.0	0.0	0.0	0.0	0.0	828.6691105365753
7	-36.6288	27.996487	5.7590885	-57.957253	114.0	-0.6827628	0.9072188	0.29022384	-5.0230236	16000	604.03674	438.16913	0.0	0.0	0.0	0.0	0.0	0.0	994.3551585674286
8	-35.52949	28.113506	6.301564	-58.190346	119.6	-0.7182466	0.7462348	0.2122836	-5.1624875	18000	465.99466	404.13602	0.0	0.0	0.0	0.0	0.0	0.0	1183.3060722351074
9	-30.323004	29.92884	6.4303	-57.100925	144.58333	-0.8272241	0.9789606	-0.08014072	-6.0760818	20000	328.6307	319.8643	0.0	0.0	0.0	0.0	0.0	0.0	1408.604808807373
10	-21.929977	30.181526	6.294572	-56.888416	176.18182	-0.77205044	0.88800764	0.091868505	-7.2577763	22000	250.1993	190.09471	0.0	0.0	0.0	0.0	0.0	0.0	1637.5388691425323
11	-22.90263	30.977823	6.0070367	-58.89912	178.72728	-0.8309845	1.0011861	0.009210739	-7.1080413	24000	196.54088	229.74205	0.0	0.0	0.0	0.0	0.0	0.0	1958.8817646503448
12	-19.815084	29.894142	7.0429196	-57.200947	193.2	-0.9335603	1.0793426	-0.12564562	-7.8833	26000	186.46288	180.84076	0.0	0.0	0.0	0.0	0.0	0.0	2222.7426886558533
13	-9.648421	26.251143	7.5990195	-55.386505	230.375	-0.7370502	0.81800896	-0.024864202	-6.2503924	28000	147.19446	64.50257	0.0	0.0	0.0	0.0	0.0	0.0	2534.7718002796173
14	-39.253395	27.248463	6.520903	-59.85931	109.388885	-1.100304	1.4721171	0.16354795	-8.059024	30000	343.0201	615.10974	0.0	0.0	0.0	0.0	0.0	0.0	2815.613444328308
15	-32.863754	29.694342	6.3853626	-57.78472	135.6923	-0.9655738	1.4136524	0.051735133	-8.070169	32000	302.6066	333.06396	0.0	0.0	0.0	0.0	0.0	0.0	3074.8242297172546
16	-40.008617	26.728344	6.75494	-58.165604	100.210526	-1.5972029	1.9109594	0.01186076	-10.710992	34000	319.84003	495.53333	0.0	0.0	0.0	0.0	0.0	0.0	3360.6430180072784
17	-36.984585	28.796453	6.469531	-58.98552	116.3125	-1.7745566	2.0614462	-0.37284043	-11.249896	36000	278.1784	438.62283	0.0	0.0	0.0	0.0	0.0	0.0	3656.9959528446198
