epoch	AverageTestEpRet	policy_steps	LossPi	LossV
50	-12.357084	66.79121	3956.1045	0.24820173
100	-16.57285	161.32967	1230.711	0.42009774
150	-12.674574	141.28572	1140.9135	0.48014
200	-11.926323	144.2967	978.1853	0.22589535
250	-14.202927	218.04396	871.2417	0.20817441
300	-12.607101	167.0879	712.86224	0.16352782
350	-11.297674	163.4945	664.6682	0.14883368
400	-12.304142	178.96703	615.8864	0.13207904
450	-11.715044	132.03297	570.56274	0.12118948
500	-11.096342	118.52747	506.83746	0.111056626
550	-10.632174	113.03297	505.1278	0.11149827
600	-11.224037	117.83517	504.49274	0.10879153
650	-10.5547495	112.14286	423.10284	0.09322193
700	-10.349219	118.94505	402.23108	0.079093
750	-9.641233	100.15385	353.87445	0.05745022
800	-10.575427	118.7033	335.087	0.057722483
850	-10.3110485	141.84616	327.11996	0.052439176
900	-10.883095	152.8901	310.90167	0.047315083
950	-12.479595	189.0989	259.24435	0.04105855
1000	-10.950234	168.1099	266.09622	0.040055074
