Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-0.61360425	26.082024	31.680355	-28.053637	74.969696	-0.3800531	0.41091296	0.8020236	-2.7656662	10000	38395.938	481.6599	0.0	0.0	0.0	0.0	0.0	0.0	195.63052988052368
2	-1.6032761	25.543211	31.807547	-28.431662	72.67647	0.06381377	0.6302566	1.8094147	-2.5364664	15000	5597.0063	466.3006	0.0	0.0	0.0	0.0	0.0	0.0	391.1298303604126
3	0.42270187	26.129883	31.888332	-29.053358	75.666664	0.9371754	1.2560668	6.235929	-3.7266734	20000	2315.2869	438.09555	0.0	0.0	0.0	0.0	0.0	0.0	586.3907618522644
4	9.520661	24.66842	29.067797	-29.130245	97.01961	2.5403662	1.9098464	12.075229	-3.6227567	25000	1090.2407	362.0742	0.0	0.0	0.0	0.0	0.0	0.0	780.1801190376282
5	-16.432184	16.45614	29.54361	-34.147278	105.87234	5.3841796	2.715868	20.020206	-2.75772	30000	4115.797	291.5393	0.0	0.0	0.0	0.0	0.0	0.0	1149.1476287841797
6	-11.503552	21.041985	31.264772	-27.971985	99.0	2.0533724	2.4139984	9.269242	-7.8645706	35000	3406.3481	293.97464	0.0	0.0	0.0	0.0	0.0	0.0	1352.5380465984344
7	0.4611516	25.963629	30.29521	-28.759035	115.39535	0.8568805	2.940987	7.4558434	-14.245416	40000	2214.239	322.10104	0.0	0.0	0.0	0.0	0.0	0.0	1554.8939864635468
8	4.325566	23.72712	29.846455	-25.410635	120.02439	3.825965	2.7189631	14.905989	-11.996613	45000	1968.8195	222.73042	0.0	0.0	0.0	0.0	0.0	0.0	1757.5020067691803
9	-1.7961559	24.328484	29.474182	-30.464775	120.825	5.5808835	3.228369	15.815165	-11.56463	50000	1856.7574	235.92245	0.0	0.0	0.0	0.0	0.0	0.0	1959.996474981308
10	0.3875476	24.938673	30.489504	-30.349068	118.04878	6.446049	3.8829436	21.095053	-16.525415	55000	1614.9373	234.94545	0.0	0.0	0.0	0.0	0.0	0.0	2297.466794013977
11	5.283467	22.486965	31.1852	-28.115374	145.38235	7.616711	3.4084468	19.834333	-5.4976993	60000	1949.4271	162.46626	0.0	0.0	0.0	0.0	0.0	0.0	2500.9199340343475
12	0.9632028	25.385338	32.674812	-28.524681	102.729164	7.8331842	4.490591	22.117767	-11.265962	65000	1443.1405	203.45294	0.0	0.0	0.0	0.0	0.0	0.0	2706.3454637527466
13	1.140057	25.006802	30.716402	-32.043137	112.931816	10.301914	5.3654804	27.983084	-16.286903	70000	1739.9429	185.83038	0.0	0.0	0.0	0.0	0.0	0.0	2911.1035962104797
14	6.4688563	23.097256	31.377567	-27.947773	131.67567	11.675661	4.4248633	33.192112	-6.848021	75000	1126.1508	151.09583	0.0	0.0	0.0	0.0	0.0	0.0	3114.726355075836
15	3.0877943	23.61575	31.575344	-27.406368	139.25714	11.321157	4.6702733	26.667574	-15.591977	80000	1145.6755	144.82336	0.0	0.0	0.0	0.0	0.0	0.0	3456.2245008945465
16	-6.3957243	24.633284	31.357868	-30.095316	92.320755	9.454689	6.278386	23.233116	-20.97263	85000	1290.0065	194.05873	0.0	0.0	0.0	0.0	0.0	0.0	3660.2929425239563
17	1.5139755	25.400764	31.70234	-33.249752	99.734695	8.469837	7.0718656	23.046808	-24.104588	90000	862.2017	153.82092	0.0	0.0	0.0	0.0	0.0	0.0	3863.4452385902405
18	-1.1742029	25.995087	31.746895	-31.851694	86.68421	9.825768	8.873872	27.810513	-25.238998	95000	1088.7206	131.33913	0.0	0.0	0.0	0.0	0.0	0.0	4067.4020717144012
19	-0.28924483	25.075203	31.522535	-28.681656	105.21739	11.988506	10.589373	36.9969	-48.33214	100000	965.6561	142.36365	0.0	0.0	0.0	0.0	0.0	0.0	4270.369136810303
