Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
2500	6.5335817	6.1545124	18.643387	-17.603853	4.5071497	4.6221004	17.091179	-0.7485031	38.04	33.3	25	1.9609238	3.9532537	9.971764	-21.950384	1.9600973	3.9482338	9.78186	-23.707823	-2.176969	0.5645568	6918.230711936951
2600	10.807886	5.854409	19.247162	-17.38516	15.501966	2.3862777	17.647293	8.730876	44.37	49.0	53	2.1802328	3.296146	9.803957	-18.147184	2.1805198	3.2931626	9.666484	-16.947172	-2.3761055	0.36665285	7141.917195320129
2700	9.386221	6.0056376	18.126049	-18.156864	13.600885	2.1294541	17.965965	9.760777	41.97	46.9	46	2.9987078	3.4342072	10.124225	-14.208861	2.9984148	3.4323685	9.774486	-14.234782	-3.0856178	0.27665675	7354.681709289551
2800	8.662751	8.77542	20.487417	-17.2726	5.837003	3.123477	14.098734	2.2917013	40.81	35.4	36	2.5992987	3.3690457	10.109795	-17.447561	2.5991857	3.3701754	9.862153	-16.542213	-2.7143617	0.33096465	7557.721487045288
2900	9.013604	7.416477	19.256039	-12.150847	0.98517865	4.11943	8.5565195	-5.6072483	40.43	50.6	53	3.0896323	3.9134173	10.529812	-23.816729	3.0899625	3.915464	10.505874	-23.300962	-3.2067158	0.35831472	7764.78168797493
3000	10.778169	4.556587	17.966597	-4.6167502	-10.4618635	3.8336568	0.62287694	-13.935307	42.21	13.8	45	3.536723	3.236885	10.773729	-13.396071	3.5372279	3.2334838	10.55819	-13.222803	-3.684326	0.18957338	7968.163176774979
3100	7.8275256	7.4848957	22.793139	-12.112152	-0.19313478	4.297659	10.124431	-5.4244514	35.89	36.3	51	3.278796	3.1390831	10.92608	-15.120344	3.2789075	3.1381137	10.967752	-17.079794	-3.4119425	0.25585815	8150.7556664943695
3200	11.017749	4.7804184	19.991331	-11.56405	17.212446	2.9563742	20.78456	10.47119	43.25	56.1	51	3.3686416	2.937368	11.145567	-17.272247	3.3689978	2.9321578	11.265462	-17.545378	-3.5312126	0.28817216	8372.640021324158
3300	6.7532654	7.5973854	17.928808	-10.493295	-11.062543	6.0704136	6.543233	-16.295866	34.73	21.3	53	2.5263562	3.675602	10.449084	-20.661205	2.526268	3.668673	9.859646	-18.766428	-2.7177603	0.4909791	8545.084538936615
3400	10.800133	4.19813	20.640707	-0.44282818	13.474338	1.7186924	16.146652	10.351146	46.13	48.8	48	2.9128451	3.68194	10.346413	-20.40964	2.9126997	3.6810222	10.111379	-20.221346	-3.0268214	0.33264247	8776.85522866249
3500	7.128092	7.118311	18.060951	-11.310813	11.776941	1.4499884	14.691794	8.529155	35.34	41.0	54	2.479355	4.021901	10.209316	-14.1602	2.4792578	4.021033	10.486331	-15.4169235	-2.605804	0.3110717	8959.712986469269
3600	2.7514467	8.343098	16.419119	-19.188301	3.2725708	4.999183	6.7552557	-11.14073	32.19	23.1	32	3.019129	3.1116729	10.348852	-13.8799715	3.019218	3.111225	10.13519	-13.322539	-3.1522143	0.23039818	9122.457721710205
3700	8.154626	7.131018	17.00989	-10.902764	11.411496	1.55893	15.970254	10.292408	35.18	37.6	20	2.7979853	3.2177463	10.431772	-13.944271	2.798177	3.2192895	10.279351	-13.994823	-2.9185586	0.23317882	9304.471734762192
