Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-8.99773	19.547081	10.359764	-50.436886	138.07692	-0.13890722	0.21464998	0.80901736	-1.3163364	4000	18615.648	32.516315	0.0	0.0	0.0	0.0	0.0	0.0	79.53373312950134
2	-9.360121	17.12135	9.242618	-39.49209	140.3077	-0.06851822	0.47713187	0.83692425	-2.5805748	6000	2818.5415	23.754576	0.0	0.0	0.0	0.0	0.0	0.0	158.7614803314209
3	-11.6859865	18.788088	8.844944	-48.84524	128.0	0.07942342	0.86550593	1.1066347	-4.40172	8000	1510.7775	26.386213	0.0	0.0	0.0	0.0	0.0	0.0	237.98399996757507
4	-5.431001	12.32027	9.601779	-31.264467	121.25	0.16948688	1.4222083	2.2050967	-7.9685616	10000	1597.8142	11.041647	0.0	0.0	0.0	0.0	0.0	0.0	317.51077914237976
5	-6.2003336	19.14767	9.997456	-45.13089	195.4	0.7766797	1.1577835	2.1802073	-5.338441	12000	913.883	16.95183	0.0	0.0	0.0	0.0	0.0	0.0	396.0221538543701
6	-9.393789	18.543823	9.243136	-54.27293	135.92308	0.83548594	2.0376232	2.7030997	-9.840908	14000	652.90857	16.564798	0.0	0.0	0.0	0.0	0.0	0.0	475.1736717224121
7	4.8143144	6.749282	10.070058	-11.163882	234.625	1.5176954	1.7312033	3.1876993	-7.4651823	16000	497.08624	1.8447144	0.0	0.0	0.0	0.0	0.0	0.0	553.3947739601135
8	-12.771541	18.551382	9.270097	-47.161564	126.8	1.1395085	2.788839	5.73312	-10.058855	18000	617.8947	21.857399	0.0	0.0	0.0	0.0	0.0	0.0	633.0314545631409
9	1.9024522	8.186246	9.974308	-15.829025	211.0	1.8557464	1.7302766	3.1625865	-6.7864337	20000	473.60516	1.9880626	0.0	0.0	0.0	0.0	0.0	0.0	711.2934420108795
10	-5.173617	9.792028	4.126263	-31.5685	153.83333	1.4407611	2.3245602	6.7670884	-10.205492	22000	1273.984	5.447492	0.0	0.0	0.0	0.0	0.0	0.0	928.8648669719696
11	-11.000171	14.836603	1.7724302	-44.33737	165.5	0.11792547	2.1986604	2.7463102	-10.852088	24000	2116.1282	11.486091	0.0	0.0	0.0	0.0	0.0	0.0	1013.2039189338684
12	-15.356977	14.741542	5.0029144	-41.52745	118.5625	-1.3237454	3.2514896	2.6030219	-14.609412	26000	2597.3665	17.66164	0.0	0.0	0.0	0.0	0.0	0.0	1098.0577554702759
13	-5.3818746	7.362306	4.729783	-24.396524	123.625	-0.7107812	3.5333354	4.137565	-13.114429	28000	2960.7668	3.703729	0.0	0.0	0.0	0.0	0.0	0.0	1182.6392152309418
14	-11.008653	14.26727	4.981194	-45.8866	103.36842	-0.051502686	3.0701196	4.5836077	-11.487557	30000	2565.972	17.176067	0.0	0.0	0.0	0.0	0.0	0.0	1267.6079545021057
15	-6.0124383	8.452293	1.8319147	-30.07529	142.76923	-0.34497073	3.0263336	3.6964135	-13.021525	32000	2393.7075	2.572978	0.0	0.0	0.0	0.0	0.0	0.0	1351.8976345062256
16	-13.041091	14.156111	5.5169644	-43.747925	121.75	-0.48958257	3.4383953	2.8272321	-17.623344	34000	1896.842	9.510142	0.0	0.0	0.0	0.0	0.0	0.0	1436.457157611847
17	-7.2758126	14.661054	6.9156528	-37.40066	165.83333	-0.33201525	3.1120684	2.2611322	-15.1491165	36000	1612.9122	6.847683	0.0	0.0	0.0	0.0	0.0	0.0	1520.4260516166687
18	-8.263038	14.536869	5.20762	-55.33327	122.73333	0.38611683	3.3583686	5.4349585	-14.380465	38000	1555.5535	8.76041	0.0	0.0	0.0	0.0	0.0	0.0	1604.9117949008942
19	-10.267612	14.660389	7.390244	-37.34924	136.38461	0.35115883	3.1057398	2.973011	-13.245981	40000	1310.3817	7.8990216	0.0	0.0	0.0	0.0	0.0	0.0	1689.424263715744
20	-3.3117476	11.142002	12.559312	-20.655165	166.41667	0.92037547	2.6883516	3.5140562	-14.57421	42000	1255.7063	2.7623103	0.0	0.0	0.0	0.0	0.0	0.0	1900.1338024139404
21	1.7892729	4.9676566	6.7103677	-9.366719	262.42856	1.7781365	1.6693563	4.1098447	-7.898451	44000	959.2869	1.0441576	0.0	0.0	0.0	0.0	0.0	0.0	1983.6575057506561
22	-4.9096556	12.295918	5.276822	-24.629478	235.375	0.8702541	2.3744802	2.4744775	-15.805202	46000	937.4352	1.7611694	0.0	0.0	0.0	0.0	0.0	0.0	2067.3929805755615
23	-6.3245797	11.499711	7.195461	-32.328796	153.76923	0.93316144	2.4442194	3.5377138	-14.662788	48000	1133.168	4.397518	0.0	0.0	0.0	0.0	0.0	0.0	2152.1979656219482
24	-1.5163927	14.587809	9.582475	-42.05879	191.5	1.2429688	2.1513314	3.1861327	-13.129528	50000	810.2498	3.1000702	0.0	0.0	0.0	0.0	0.0	0.0	2236.5442385673523
25	-1.517995	6.3146057	8.469853	-12.359208	193.8	1.2926519	2.424701	4.0868006	-15.696789	52000	822.12665	1.7802138	0.0	0.0	0.0	0.0	0.0	0.0	2320.604023218155
26	-10.416094	17.557245	8.236514	-61.42443	123.6875	0.2719422	3.478327	3.1872735	-16.84059	54000	986.9255	12.243098	0.0	0.0	0.0	0.0	0.0	0.0	2405.5640065670013
27	-1.8121866	10.629476	9.405373	-27.350956	210.77777	1.3252615	2.2844954	4.554252	-12.135697	56000	919.43713	2.097764	0.0	0.0	0.0	0.0	0.0	0.0	2489.7324328422546
28	-7.6696806	14.485269	5.958522	-56.537678	114.82353	0.22074378	4.105699	3.2721424	-22.401794	58000	950.91595	5.5630646	0.0	0.0	0.0	0.0	0.0	0.0	2574.9136741161346
29	-4.398577	10.175199	8.762147	-22.688017	166.66667	0.9107113	2.563548	3.6394634	-15.377471	60000	891.4457	1.737154	0.0	0.0	0.0	0.0	0.0	0.0	2658.901077270508
30	-16.147583	18.091055	8.601528	-47.5499	99.4	-0.39002454	4.445432	3.4975984	-16.8465	62000	904.2582	12.895115	0.0	0.0	0.0	0.0	0.0	0.0	2899.11097741127
31	-4.558349	12.886024	9.632023	-33.002235	136.07692	0.9358856	3.299912	4.5506396	-17.973083	64000	729.0598	4.3150454	0.0	0.0	0.0	0.0	0.0	0.0	2983.762243747711
32	-12.130754	13.389065	5.7878346	-36.048378	118.0625	0.30938038	4.891771	3.58261	-19.83317	66000	733.745	6.9597025	0.0	0.0	0.0	0.0	0.0	0.0	3068.3729345798492
33	-8.007581	13.884981	6.2270827	-39.323204	194.0	0.74731755	3.5422165	3.5726502	-17.987316	68000	679.30615	3.3253813	0.0	0.0	0.0	0.0	0.0	0.0	3152.1661109924316
34	-8.994564	16.66688	7.5479383	-51.627254	134.23077	0.6422407	2.8904195	3.6152964	-18.349813	70000	652.62646	4.2231045	0.0	0.0	0.0	0.0	0.0	0.0	3236.426776409149
35	-3.9794028	12.867088	6.11003	-31.57206	208.88889	1.2907319	3.298297	4.469191	-19.893858	72000	865.78326	1.8515205	0.0	0.0	0.0	0.0	0.0	0.0	3320.3442039489746
