Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-3.041466	3.1185749	-0.07914642	-13.183002	276.94446	-7.672853	7.5858197	0.31835365	-53.330982	10000	6.1035155e-09	103.804565	-0.04089693	-74.49182	22.952562	-0.00089739606	0.1468	79.0	162.17493724822998
2	-2.7383745	2.6951742	-0.15214677	-11.370571	228.2381	-3.7196243	7.1447754	1.5486187	-37.56303	15000	1.0681152e-08	57.08248	-0.046383984	-33.27852	22.937176	-0.003162912	0.167	79.0	323.8772146701813
3	-3.5302758	2.585956	-0.16627152	-10.252802	172.10345	-1.9991785	5.492679	2.5078318	-34.207535	20000	2.2888184e-08	25.719763	-0.044084318	-14.176965	22.879414	0.001939824	0.1844	79.0	487.15648078918457
4	-3.191933	2.7024124	-0.08265429	-10.370338	162.0	-0.47850552	4.7130413	2.9516432	-23.061419	25000	-4.2724608e-08	17.38172	-0.04771647	-8.364944	22.836842	0.0054255533	0.2	79.0	650.2605454921722
5	-3.706521	3.5480313	0.03152024	-11.021515	187.48	0.21150386	3.9297829	3.5433195	-19.650562	30000	-1.8310548e-08	11.333257	-0.04432194	-3.7560253	22.80132	0.01337733	0.163	79.0	913.8791754245758
6	-3.4583008	3.5088625	0.047924552	-14.252472	235.0	0.7994349	2.5643642	3.2789545	-10.715772	35000	-1.2207031e-08	4.7894826	-0.044581994	-1.2450516	22.834332	0.005476638	0.1838	79.0	1075.8308341503143
7	-3.3888593	3.44269	0.26587173	-13.909926	190.46153	0.22038564	2.7948186	3.2272797	-14.006701	40000	3.5858154e-08	4.921971	-0.04971586	-1.5161693	22.793972	0.0046501574	0.1924	79.0	1238.2981419563293
8	-3.0151474	3.371323	-0.090479	-10.682105	248.3158	0.73196423	1.8626564	3.316776	-12.259229	45000	-1.2207031e-08	2.360236	-0.046301376	-0.56241465	22.75602	0.011117313	0.1824	79.0	1400.1293301582336
9	-3.1234536	2.3235471	-0.29178655	-8.930514	199.8	0.2230031	2.2189293	3.4871063	-10.976893	50000	2.746582e-08	2.8181965	-0.043796998	-0.8353344	22.687544	0.0063440497	0.181	79.0	1562.666972875595
10	-3.7033455	3.086192	0.6866974	-11.036926	237.4	0.5114002	1.7465256	3.6807554	-12.091876	55000	-4.577637e-09	2.163698	-0.046371195	-0.4539864	22.688644	0.010647778	0.1792	79.0	1826.7702827453613
11	-2.764314	2.6254878	0.08440983	-7.704209	258.33334	0.36053163	1.84221	2.8336658	-9.96714	60000	-1.0681152e-08	2.1420894	-0.043878336	-0.65340984	22.704853	0.013475368	0.172	79.0	1988.693924188614
12	-2.010576	2.1079283	0.050472356	-8.204528	209.52174	0.46762496	1.3046249	3.0031393	-8.002564	65000	-6.103516e-08	1.2384437	-0.043763977	-0.27457827	22.648832	0.0063238214	0.1644	79.0	2151.23899269104
13	-1.7709551	1.7365469	0.9015264	-5.2148027	247.89473	0.33401603	1.1984371	2.5366552	-7.1987877	70000	9.155274e-09	0.88795257	-0.045370333	-0.1757974	22.632256	0.007150258	0.1708	79.0	2313.310030221939
14	-2.3159857	2.8317494	0.9710115	-8.083365	310.5	0.46915078	0.97314274	2.7868316	-9.294691	75000	5.493164e-08	1.0298692	-0.038410943	-0.21557367	22.595264	0.015217355	0.1698	45.0	2475.0833990573883
15	-4.05562	3.72261	0.17574966	-11.860154	228.42857	0.061986268	1.1634208	2.3587966	-5.4245934	80000	3.0517577e-09	1.2763464	-0.0414905	-0.16248608	22.604158	0.015689721	0.1418	40.0	2727.560654401779
16	-4.0056763	4.067165	0.39848298	-14.950382	175.96297	-0.16402408	1.4454082	2.6749198	-7.0412025	85000	-2.5939942e-08	1.5173067	-0.042691495	-0.12694776	22.575096	0.015246164	0.1678	49.0	2890.658992767334
17	-2.5839095	2.5037508	0.3318981	-8.5654	227.0	-0.08246001	1.2694495	3.5608938	-11.359802	90000	6.1035155e-09	0.88934374	-0.04594381	-0.19024658	22.562971	0.015026014	0.1914	65.0	3053.1443948745728
18	-4.2105603	3.5513093	0.3626273	-12.040101	203.45833	0.13149743	1.1355561	3.061831	-5.106934	95000	-4.5776368e-08	1.2259204	-0.051740702	-0.16249382	22.56559	0.014997305	0.1836	79.0	3215.909819126129
19	-2.2602324	2.1666195	0.3254114	-8.529852	246.78947	0.08349804	0.9123788	2.0206835	-5.9262853	100000	-1.525879e-08	0.47205424	-0.04614155	-0.073254675	22.564548	0.006188843	0.1856	79.0	3378.0270750522614
20	-3.193643	3.872523	0.8386168	-15.382017	219.5	0.03745306	1.1121464	2.5501676	-8.12188	105000	2.4414062e-08	1.4068551	-0.04580982	-0.11627674	22.534437	0.011649927	0.173	79.0	3641.59197306633
21	-2.8541222	2.7358727	1.0709983	-7.795723	206.79167	-0.03204228	1.2291446	2.5172882	-6.0926304	110000	-3.8146974e-09	1.006905	-0.05051411	-0.22206253	22.491312	0.011306413	0.1886	79.0	3803.641988515854
22	-2.2549784	2.6048481	1.2105867	-8.062235	256.94446	0.4638047	0.57430464	2.6146998	-2.8725626	115000	3.6621095e-08	0.67423636	-0.03901717	-0.15994388	22.467094	0.015518715	0.1646	53.0	3964.7717146873474
23	-3.255613	3.1400619	-0.106534526	-9.828815	221.59091	-0.0029887818	1.0405766	2.5913465	-5.8663635	120000	-7.629395e-09	1.4499469	-0.047605347	-0.16810155	22.430582	0.015125827	0.1806	59.0	4126.673099517822
24	-1.8194091	2.5471408	1.1931276	-7.8484263	225.33333	-0.03208865	1.0139866	2.068831	-5.8665094	125000	6.866455e-09	0.8105025	-0.04433963	-0.30541486	22.486612	0.01178937	0.1812	79.0	4288.174872159958
25	-4.0792418	4.481669	0.35811156	-16.234467	264.16666	0.21125728	0.92719764	2.7959023	-4.5794506	130000	6.103516e-08	2.0375626	-0.033920903	-0.30055308	22.465157	0.015846334	0.1334	30.0	4550.138929605484
26	-1.7761514	1.976484	0.7199053	-6.134739	227.85715	-0.08846011	1.2250187	2.054557	-6.911578	135000	-5.79834e-08	0.9827671	-0.051167373	-0.46700644	22.480553	0.010264232	0.2124	79.0	4711.598286628723
27	-2.8123856	3.120042	1.986416	-9.0151825	165.07143	0.26825097	0.92627555	2.9444644	-4.3230324	140000	-4.577637e-09	1.1097847	-0.03499426	-0.10120988	22.451878	0.016400713	0.14	22.0	4873.735381126404
28	-2.789617	3.932964	2.4002197	-11.564636	216.77272	0.29476556	0.8142237	2.5316634	-5.0752387	145000	1.7547608e-08	1.2174617	-0.03196603	-0.091974854	22.428198	0.016020473	0.1354	22.0	5035.175102233887
29	-1.5830712	3.1339347	2.7000346	-12.260845	227.28572	0.44452342	0.7673451	2.602237	-3.5766978	150000	-4.4250488e-08	1.1569189	-0.02291803	-0.15998793	22.432169	0.016720816	0.1784	11.0	5196.312666416168
30	-0.74441385	2.9350636	3.4499137	-6.532295	274.0	0.69635844	0.5872996	3.141242	-3.7502594	155000	-3.051758e-08	0.8720699	-0.017998975	-0.07806367	22.404137	0.01502233	0.1414	11.0	5458.140240907669
31	-1.2463317	3.8963277	3.9030337	-10.868734	260.83334	0.75707006	0.7343389	2.9926581	-3.028779	160000	-5.3405763e-08	1.4462004	-0.016950684	-0.13898373	22.375444	0.016429916	0.1208	12.0	5619.080607652664
32	-1.7342688	2.8276632	2.1508386	-7.390686	246.05263	0.86607635	0.8485546	2.8033068	-5.759217	165000	-6.1035155e-09	0.9074669	-0.039512433	-0.077994525	22.410982	0.015397036	0.1686	40.0	5780.293725728989
33	-1.121434	3.7357912	3.396928	-8.3163185	238.8	0.8886639	0.83114785	2.908935	-3.5111833	170000	-5.79834e-08	1.7064742	-0.023148233	-0.19998741	22.424513	0.017414086	0.1164	17.0	5941.522731542587
34	-2.1215463	3.203068	3.9776034	-7.3669567	206.69565	1.0688559	0.8163689	4.87962	-4.7550316	175000	4.2724608e-08	1.0610782	-0.026009088	-0.11252719	22.398159	0.01602293	0.1446	17.0	6103.202831745148
35	-2.5285342	4.091701	4.3096595	-12.164218	216.39131	0.7498545	1.0605541	3.2730448	-4.7053213	180000	-6.1035155e-09	1.262535	-0.029487524	-0.078636885	22.429476	0.015259829	0.1472	24.0	6365.797261953354
36	-0.015774727	2.6430008	4.568089	-6.429508	308.33334	0.8767043	0.85471874	2.6038687	-5.7843213	185000	3.6621095e-08	1.9220864	-0.037425753	-0.48211336	22.397532	0.015129331	0.1836	50.0	6526.369905948639
37	-1.5934021	3.4371185	4.227831	-9.370039	196.08	1.3472736	0.9731808	4.94028	-4.2877407	190000	-1.9836426e-08	1.9269121	-0.027829634	-0.15238881	22.391338	0.014852347	0.1326	25.0	6688.350708961487
38	-1.3499377	4.5717826	3.584999	-10.245142	238.0	1.2792777	0.971577	5.178556	-3.9163306	195000	1.8310548e-08	2.8476145	-0.019030683	-0.26236868	22.400007	0.0173896	0.136	11.0	6849.835095643997
39	1.3252283	2.8179963	4.571922	-6.4094257	325.46667	1.6312069	0.7737422	4.2971535	-3.8010702	200000	-3.2043456e-08	1.8509259	-0.038600232	-0.24393594	22.407158	0.0074060843	0.164	79.0	7010.798969984055
40	-2.7036903	5.3425016	4.549362	-11.901457	210.82608	1.7873119	0.9748803	4.8309913	-2.868236	205000	-6.1035155e-09	2.659218	-0.023088655	-0.48209	22.36706	0.01457712	0.1434	12.0	7273.674990415573
41	0.7038414	2.101109	4.8421645	-4.876145	325.8	1.6397727	0.91344815	3.5440974	-5.315114	210000	1.8310548e-08	2.6429453	-0.0350567	-0.46068907	22.34163	0.015671657	0.1838	36.0	7434.297787904739
42	-0.04851304	3.8304677	7.108782	-7.73314	211.73914	1.6403779	0.9179957	4.8844056	-3.5400646	215000	3.8146972e-08	3.23161	-0.025539698	-0.34942126	22.326353	0.016645577	0.1746	19.0	7595.947083473206
43	-0.76167715	4.0833507	7.0517945	-8.146924	178.65384	1.6867807	1.0145417	4.95324	-2.6512928	220000	-2.4414062e-08	2.9662726	-0.01956004	-0.38596392	22.326946	0.016813297	0.118	9.0	7758.0596125125885
44	-2.2148511	4.3169246	9.764221	-10.126536	177.75	1.9695867	1.2697512	5.1171265	-3.6251569	225000	-9.4604495e-08	3.7280781	-0.026706146	-0.83968616	22.367996	0.015958933	0.1514	18.0	7920.212739467621
45	-2.6217725	5.0277905	8.405362	-13.084155	140.2	1.1706237	1.6105963	4.1341367	-7.0285745	230000	6.103516e-08	4.7560797	-0.021660132	-0.98825383	22.3098	0.016249549	0.136	12.0	8173.522921085358
46	0.21232615	4.809339	9.013884	-10.025804	246.47368	2.244673	1.1930073	5.165861	-5.6860013	235000	-3.6621095e-08	3.1658492	-0.022187615	-0.26395965	22.343668	0.01596026	0.1372	21.0	8334.884202718735
