Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-14.433957	10.514654	3.3027196	-29.790543	198.48	-7.803133	9.323564	0.52925074	-54.097782	10000	-1.6784668e-08	67.66282	-0.046016403	-45.94254	22.952562	0.0011015778	0.183	79.0	170.03690814971924
2	-15.61278	11.41475	0.006232115	-33.290184	176.39285	-5.0933323	8.612767	1.510446	-45.133404	15000	-3.967285e-08	31.131546	-0.051782284	-13.527775	22.935993	0.004180216	0.1672	79.0	340.0634431838989
3	-18.720259	11.848385	-1.2500775	-40.44147	153.53125	-3.5217395	8.0363245	2.2830203	-41.10739	20000	-1.6784668e-08	20.243422	-0.05267901	-2.4993916	22.879671	0.010997729	0.174	79.0	510.5199408531189
4	-15.2643385	11.027984	0.0041696685	-34.416912	176.48148	-3.0024111	7.288962	2.1381285	-37.899292	25000	-4.8828124e-08	12.391271	-0.053097058	-2.3222094	22.837965	0.008730355	0.1932	79.0	680.215265750885
5	-19.506659	10.465546	1.2089608	-36.901608	128.43243	-4.265974	8.749038	2.3878524	-50.147564	30000	3.5095216e-08	24.451374	-0.054651793	-3.3489933	22.79596	0.01271911	0.2228	79.0	896.0905039310455
6	-17.203644	10.349527	2.061367	-35.138523	146.79411	-3.1317527	7.7580314	2.513057	-31.851316	35000	-1.5258789e-09	15.63345	-0.047019433	-1.9201965	22.835482	0.015116708	0.1752	41.0	1066.8273763656616
7	-15.380613	11.053376	5.029842	-41.086185	164.5	-1.4111521	5.7365174	2.8724852	-31.346956	40000	5.1879884e-08	16.360088	-0.046796218	-2.232874	22.807	0.0153648	0.1636	56.0	1237.2221307754517
8	-16.083803	10.584574	3.661245	-29.794794	161.23334	-1.9105583	6.2400484	3.0229568	-24.980507	45000	-7.324219e-08	16.442104	-0.05261198	-1.8958044	22.799747	0.015238916	0.19	68.0	1407.3498802185059
9	-15.683714	10.333785	-0.20957385	-31.464134	184.37038	-1.8138819	6.802123	2.8987541	-32.39061	50000	6.103516e-08	12.649117	-0.054560058	-1.0617142	22.743654	0.014790346	0.1898	79.0	1577.0886442661285
10	-15.81948	10.316391	0.6065817	-35.221157	192.76	-1.9137639	6.387515	2.830838	-30.881128	55000	2.746582e-08	9.2773695	-0.045091886	-0.9356003	22.758892	0.01530272	0.1686	54.0	1774.8791944980621
11	-16.975735	9.573017	1.6338729	-28.825447	167.27586	-2.155777	6.136049	2.9249747	-28.73495	60000	1.9836426e-08	17.5057	-0.044886567	-1.4007092	22.775444	0.015463518	0.1494	38.0	1944.7111802101135
12	-19.09694	11.875823	-0.33942696	-36.937805	142.51428	-2.7678666	6.955325	2.6693664	-34.489006	65000	0.0	26.65895	-0.052848615	-6.005232	22.750687	0.01506011	0.17	42.0	2115.4361188411713
13	-13.456207	10.26879	3.2117872	-35.898388	206.82608	-2.5555491	6.270291	1.9942912	-31.325287	70000	-3.0517577e-09	13.02652	-0.050542973	-4.5344906	22.759882	0.0030913113	0.1854	79.0	2284.4766240119934
14	-13.9421	11.316646	5.6423187	-30.516478	192.64	-1.2653787	5.6978693	3.2552557	-30.072807	75000	-5.0354004e-08	13.596581	-0.050455123	-1.4067736	22.72572	0.012588883	0.1538	79.0	2454.3415768146515
15	-16.805883	10.584824	2.0968828	-30.254951	146.97058	-1.8186281	6.6422205	2.8185503	-32.934357	80000	-2.89917e-08	12.255459	-0.027601978	-1.6848421	22.721478	0.016481224	0.1644	13.0	2657.3655467033386
16	-17.792706	9.937353	-0.14701822	-35.680653	160.93549	-3.2640805	7.8720894	2.4515705	-43.50637	85000	5.9509276e-08	12.149596	-0.024365485	-1.9682293	22.698479	0.016198792	0.179	12.0	2827.299641609192
17	-15.691414	10.859659	3.9472704	-29.191437	154.41936	-2.2067616	7.0047193	2.4668765	-37.368683	90000	5.79834e-08	9.283082	-0.052506957	-0.90902805	22.695913	0.013457755	0.1974	79.0	2997.9980850219727
18	-14.315907	9.794975	-1.6996894	-28.544228	169.13792	-2.0615108	5.962398	2.6895854	-30.388756	95000	-3.2043456e-08	15.449593	-0.045293026	-2.4797754	22.68792	0.015223393	0.174	38.0	3168.0948288440704
19	-14.903687	11.161474	4.91424	-33.921978	176.85715	-1.389967	5.909287	2.585952	-32.30073	100000	1.2207031e-08	12.079311	-0.030918445	-1.1089258	22.69393	0.01657214	0.1514	16.0	3337.7631888389587
20	-6.0023427	6.6959743	2.8099618	-25.119383	279.64706	0.45425934	2.877386	3.1350408	-22.3691	105000	1.8310548e-08	4.6172514	-0.025730418	-0.36978865	22.687029	0.015589109	0.1234	18.0	3534.4859528541565
21	-19.73697	11.354709	1.341405	-38.98432	150.71875	-2.6821146	7.145726	3.30595	-34.829624	110000	5.79834e-08	20.10698	-0.030268064	-4.6546354	22.662031	0.016773611	0.1316	14.0	3705.03391456604
22	-18.71754	12.164193	-0.1068433	-39.27022	163.93103	-3.981236	8.486037	2.1562665	-36.807705	115000	-2.1362304e-08	25.052929	-0.046660505	-5.125761	22.658295	0.015262176	0.1726	49.0	3875.1298060417175
23	-15.483364	10.3548155	1.012759	-38.662132	187.26923	-1.8769898	6.1476936	2.4693835	-31.202465	120000	-1.8310548e-08	10.885918	-0.050467398	-0.9959736	22.624304	0.01532874	0.1766	71.0	4044.662925720215
24	-15.143702	11.268468	0.45499673	-37.55148	194.16	-1.6947922	6.081657	2.3338733	-30.003899	125000	0.0	6.97805	-0.027662262	-0.8758416	22.656168	0.015583754	0.1722	12.0	4213.932131052017
25	-15.363952	11.1603565	4.151028	-31.684732	159.58064	-2.9589493	7.6671786	2.5170782	-35.012978	130000	2.1362304e-08	16.517792	-0.033429638	-3.5683155	22.629938	0.015846243	0.1496	20.0	4421.528987169266
26	-14.849976	10.12481	-0.22917368	-29.37765	191.24	-1.2480266	5.580998	2.799301	-32.943512	135000	-5.1879884e-08	13.315638	-0.048279006	-1.5872469	22.644623	0.012268961	0.199	79.0	4591.626626253128
27	-17.461727	10.32184	3.2392328	-34.34837	172.25	-2.1724224	6.0412107	2.2499657	-29.93441	140000	1.9836426e-08	12.861891	-0.047390383	-2.055666	22.63025	0.015593687	0.161	40.0	4761.937059879303
28	-14.644422	11.28814	-0.92035604	-32.433205	208.04347	-2.4863732	6.796654	2.4646811	-42.891758	145000	-3.8146972e-08	14.380019	-0.038530365	-3.5731268	22.599276	0.015225303	0.1278	35.0	4931.537327289581
29	-18.137615	10.455248	6.2737994	-39.752712	148.5	-2.3187218	6.556112	3.5800219	-33.560196	150000	5.79834e-08	16.812418	-0.025040748	-3.7188015	22.603624	0.015802393	0.1292	12.0	5102.302669286728
30	-19.556932	10.799361	-0.17458238	-34.500195	146.91176	-4.3685827	8.30623	2.4896324	-49.286198	155000	6.1035155e-09	19.150534	-0.027034288	-4.674926	22.577152	0.017201817	0.1716	9.0	5294.403071641922
31	-21.153772	9.843244	-3.1144407	-37.646935	137.11111	-4.6916366	8.702966	2.3095748	-37.567787	160000	1.2207031e-08	21.090412	-0.04259754	-4.9027004	22.549297	0.015451474	0.1856	22.0	5465.2690353393555
32	-17.82854	10.98659	3.3249216	-38.02241	166.6	-3.407127	7.3850985	2.1722822	-37.59182	165000	2.746582e-08	17.754791	-0.03193837	-3.4276114	22.580416	0.015324243	0.1528	18.0	5635.875388622284
33	-14.081857	10.807179	0.90265673	-30.232498	169.96428	-2.020677	6.595848	2.7265167	-35.34488	170000	6.1035155e-09	13.160411	-0.04698078	-3.9751797	22.592781	0.011149098	0.1736	79.0	5805.945803403854
34	-12.446599	11.230015	3.693339	-29.562248	190.88461	-0.79346037	5.1964207	4.2591925	-29.64676	175000	1.9836426e-08	12.098873	-0.02903395	-1.8000946	22.54831	0.016216129	0.1232	22.0	5976.081872463226
35	-12.42881	9.955635	-0.600937	-29.555178	223.90475	0.036465745	4.2055354	4.136949	-23.160942	180000	7.019043e-08	7.1572404	-0.044248655	-2.0341272	22.575804	0.012559186	0.1684	79.0	6167.007728815079
36	-19.325329	8.674616	-4.263205	-35.562435	143.11765	-3.615734	7.674659	2.4760528	-36.61642	185000	-7.324219e-08	15.3678	-0.047733158	-3.1607094	22.524298	0.015443006	0.167	51.0	6338.136065721512
37	-18.295156	10.917384	0.29900002	-35.491474	138.62857	-3.0919466	7.537074	2.7294064	-36.028454	190000	-2.746582e-08	11.016443	-0.03752827	-1.6097136	22.516897	0.016131759	0.1728	22.0	6509.343162536621
38	-17.152515	11.205925	1.1962576	-38.158447	162.51724	-2.705537	6.858119	2.1935248	-38.742397	195000	-5.79834e-08	9.594609	-0.029045034	-2.2852407	22.531229	0.018605882	0.1596	13.0	6679.553677558899
39	-17.326393	10.047382	1.5482407	-34.489918	161.09677	-2.7848694	7.0319943	2.3990633	-29.626104	200000	-4.119873e-08	13.409525	-0.039392214	-2.6508846	22.541538	0.01558212	0.164	27.0	6850.023086071014
40	-15.505103	10.977449	3.8148608	-33.657402	187.65384	-2.4796207	6.9628806	2.5980985	-36.12688	205000	-8.31604e-08	11.281528	-0.041091997	-1.9821081	22.528847	0.015345373	0.157	41.0	7057.033762454987
41	-13.466504	9.806082	2.291951	-29.22763	196.48	-1.4493932	5.628681	3.1535404	-31.316614	210000	1.8310548e-08	7.6371837	-0.041058976	-0.916482	22.498755	0.015374011	0.1388	44.0	7226.79810667038
42	-15.7877245	12.527936	5.0996256	-39.52772	164.53334	-1.7240617	6.3522224	3.3230655	-28.10392	215000	-5.493164e-08	15.095086	-0.021909464	-3.1601286	22.486591	0.016875582	0.1294	11.0	7396.971204280853
43	-10.533277	10.713071	1.0841538	-29.289463	213.78261	-0.7152684	5.1069856	2.991806	-35.339664	220000	-9.1552735e-08	8.156752	-0.04562728	-1.4692907	22.491846	0.0057316143	0.1414	79.0	7566.503616094589
44	-14.427179	10.79713	1.3725204	-34.033184	183.38461	-1.3915945	6.150351	3.2813656	-30.11333	225000	-3.0517577e-09	4.852318	-0.03670801	-0.89560294	22.502254	0.01537473	0.1218	27.0	7736.447062015533
45	-16.017776	11.274457	-1.02719	-31.386286	177.85715	-2.224674	6.402395	2.671054	-26.68504	230000	-1.5258789e-09	13.073666	-0.040507216	-2.2475348	22.440853	0.0155075025	0.144	27.0	7942.383419752121
46	-14.211124	10.22807	0.24492553	-33.5143	180.7037	-1.7805	6.102881	2.6262686	-28.777023	235000	2.1362304e-08	10.262547	-0.024380095	-2.3691483	22.474703	0.017569415	0.1702	10.0	8110.934027194977
47	-11.9006405	10.316368	2.424198	-27.827093	187.34616	-1.2474184	5.2501383	3.2943594	-27.665285	240000	-1.525879e-08	8.540147	-0.04973482	-2.66052	22.490784	0.011782985	0.1568	79.0	8279.37200307846
48	-17.218437	10.4359455	2.6815584	-32.31849	157.7	-1.7524335	6.078951	4.189571	-28.533888	245000	6.408691e-08	11.930843	-0.021948574	-3.344862	22.460423	0.016567873	0.1476	10.0	8448.178837299347
49	-17.670403	10.434839	0.35510108	-31.362543	139.22858	-2.5430171	6.828202	2.6794379	-33.13168	250000	2.4414062e-08	12.01658	-0.025856253	-2.8854733	22.399742	0.015534082	0.1438	12.0	8617.571589708328
