epoch	AverageTestEpRet	policy_steps	LossPi	LossV
50	-8.646883	38.76923	55876.46	2.2943697
100	-14.325284	81.72527	18072.088	1.298093
150	-18.90898	172.25275	17778.623	2.643584
200	-16.061872	167.7033	13816.001	3.5162115
250	-16.952042	192.79121	10643.941	3.6509228
300	-13.355149	162.9121	8894.237	3.460843
350	-14.924723	207.68132	7150.1714	2.85208
400	-15.126672	223.5934	5966.2114	2.5734205
450	-12.544364	145.6923	5298.8423	2.6237931
500	-13.324793	168.04396	4650.2593	2.3407116
550	-12.945843	180.83516	3817.6829	1.9685467
600	-12.733088	200.1099	3453.4238	1.6035559
650	-11.698791	171.1099	3147.304	1.3270199
700	-10.9846	130.27472	2969.9756	1.2541811
750	-10.929292	141.28572	2784.7837	1.1942239
800	-10.878614	130.53847	2497.203	1.0795249
850	-10.617546	131.73627	2309.5664	0.973918
900	-11.695649	170.98901	2312.2756	0.96159637
950	-12.305307	191.87912	2251.5466	0.9182848
1000	-12.335907	201.25275	2127.5425	0.8088803
1050	-11.477843	178.18681	1996.8029	0.8055962
1100	-12.180802	186.82417	1971.1907	0.7879331
1150	-11.510062	147.12088	1945.672	0.7191429
1200	-11.876504	159.20879	1772.8131	0.6523056
1250	-11.064676	114.57143	1763.973	0.6398471
1300	-10.744757	122.1978	1791.4012	0.6229499
1350	-10.993863	142.24176	1751.3732	0.5443687
1400	-10.383397	122.82417	1738.9744	0.5854844
1450	-10.521387	129.42857	1680.1416	0.5480285
1500	-10.137358	125.46154	1668.3934	0.497079
1550	-11.048932	160.17583	1646.9694	0.51411843
1600	-9.836441	115.21978	1668.135	0.52718455
1650	-9.950389	123.56044	1620.2788	0.48702925
1700	-9.450719	113.17583	1557.7512	0.44727555
1750	-9.277524	100.62637	1598.2881	0.44350812
1800	-9.327732	104.85714	1534.6357	0.43877178
1850	-9.422607	111.1978	1513.4137	0.4595624
1900	-9.725209	105.28571	1469.4365	0.44351214
1950	-10.466671	119.96703	1412.2372	0.41681945
2000	-10.353783	115.54945	1476.7394	0.48008445
2050	-9.9438095	107.64835	1402.9274	0.43323773
2100	-10.117231	122.05495	1396.2156	0.4266484
2150	-9.941826	106.46154	1359.7401	0.40880898
2200	-10.088536	118.59341	1384.7842	0.40221572
2250	-9.721649	108.26373	1334.1528	0.42679864
2300	-9.517926	108.46154	1365.461	0.4121603
2350	-9.570707	109.81319	1370.5134	0.36011192
2400	-9.469361	106.54945	1377.3137	0.38821873
2450	-9.051656	100.05495	1358.5828	0.36758217
2500	-9.026346	100.0989	1436.9163	0.36485505
2550	-9.064132	106.35165	1298.6631	0.3081295
2600	-9.448832	104.28571	1334.1403	0.30926815
