Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1600	-17.938337	8.684677	-2.502336	-47.981316	10.8455715	3.4425328	13.604991	1.466003	61.24	51.9	55	-5.9031153	9.408145	22.01455	-50.890156	-5.9022093	9.408272	21.761192	-53.448666	-5.569174	9.403784	21.654884	-50.006638	-2.4819582	0.6391444	5.005314	-10.230267	5.320313	0.9462034	0.94772184	0.09254666	6823.960108280182
1700	-12.73308	11.580817	42.09272	-37.625572	-18.200077	0.83670235	-16.582653	-19.740067	65.61	48.9	65	-5.605246	9.383708	21.99994	-48.527115	-5.6038685	9.383109	21.479969	-50.273502	-5.270839	9.377952	21.889244	-47.53295	-2.5045764	0.60278016	4.054715	-12.721485	5.032871	0.8858307	0.888733	0.087043814	7116.022883415222
1800	-13.461445	11.44205	19.02535	-34.558823	-11.866286	3.5537984	-1.2583581	-14.01597	57.54	20.3	70	-5.485773	9.465056	22.33471	-45.403076	-5.4847255	9.464432	21.865747	-47.455032	-5.152481	9.462217	22.124067	-44.6091	-2.5255008	0.56816655	3.2382498	-9.740456	4.9156957	0.83248985	0.83804387	0.08530849	7366.718283891678
1900	-12.752689	13.494489	33.91363	-44.1446	-15.232948	4.0737424	-3.0510936	-17.034378	65.11	23.1	50	-5.5551257	9.619403	23.440866	-44.379837	-5.554217	9.618473	23.373707	-45.882675	-5.2242007	9.617147	23.80064	-43.968807	-2.5361946	0.5539214	3.009531	-10.741686	4.9928727	0.82405704	0.8301641	0.08185852	7648.678186416626
2000	-15.623182	11.47941	35.51875	-35.500053	6.900561	8.198569	10.654941	-17.643265	50.15	53.6	101	-5.5962157	9.603233	24.000963	-44.27501	-5.595047	9.601949	23.789978	-44.386375	-5.266131	9.605555	24.17604	-43.399677	-2.5425465	0.5413886	1.9138718	-9.993713	5.0384173	0.81034726	0.82088596	0.07937373	7879.898416519165
2100	-19.117939	7.178178	-2.9408967	-35.53195	-9.303173	2.960885	-7.390986	-17.77336	46.1	48.5	65	-5.576184	9.6149845	24.229198	-43.601162	-5.575068	9.614317	24.15585	-44.67826	-5.244666	9.617683	24.716833	-42.802254	-2.548003	0.53434587	2.2504025	-10.699821	5.017485	0.78397346	0.7924635	0.078775264	8093.713616609573
2200	-9.590995	13.057587	15.696326	-35.069874	-17.980627	0.68284804	-16.890097	-19.685823	58.86	34.8	67	-5.5874467	9.662405	24.449366	-41.938698	-5.5866985	9.661045	24.57135	-43.5552	-5.2577896	9.667541	24.951967	-41.77282	-2.559635	0.5240163	1.6431246	-11.495733	5.0291653	0.765516	0.77701527	0.079069465	8354.680987596512
2300	-14.248011	14.273845	18.437225	-38.308132	-15.5631075	9.959993	14.29106	-19.548561	56.62	40.3	41	-5.6077847	9.810395	25.049757	-42.208984	-5.607156	9.809616	25.042603	-43.948883	-5.2790155	9.818684	25.728785	-41.61353	-2.5709586	0.50887054	3.9188523	-11.04508	5.048709	0.7436432	0.7556743	0.080225274	8608.223799705505
2400	-13.3860035	11.01408	12.374017	-32.912872	-0.39986888	4.2829432	11.858952	-5.3795276	48.7	45.9	26	-5.5719852	9.934045	25.798182	-42.192005	-5.5713696	9.932613	26.090631	-44.24343	-5.2435365	9.946216	26.236141	-42.594585	-2.5811832	0.49843732	2.3375177	-9.914058	5.0118656	0.7158294	0.72835046	0.08113472	8831.642964363098
2500	-13.263432	13.01253	18.53019	-35.81427	-19.683558	1.593532	-15.262871	-21.493544	57.19	38.4	72	-5.5912495	10.00098	25.927214	-41.762245	-5.5908437	9.999657	26.071459	-42.95235	-5.2628245	10.011322	26.362543	-41.45843	-2.5934463	0.48414817	2.5220838	-11.1551695	5.031024	0.71550363	0.7271205	0.08085134	9087.02112364769
